tile_x,tile_y,panos,third_party,non_official_id
75036,47440,211,0,0
75036,47441,245,0,0
75036,47442,145,0,0
75036,47443,249,0,0
75036,47444,69,0,0
75036,47445,150,0,0
75036,47446,77,0,0
75037,47440,99,0,0
75037,47441,135,0,0
75037,47442,242,0,0
75037,47443,261,0,0
75037,47444,97,0,0
75037,47445,96,0,0
75037,47446,121,0,0
75038,47440,118,0,0
75038,47441,104,0,0
75038,47442,153,0,0
75038,47443,277,0,0
75038,47444,106,0,0
75038,47445,65,0,0
75038,47446,83,0,0
75039,47440,163,0,0
75039,47441,162,0,0
75039,47442,194,0,0
75039,47443,160,0,0
75039,47444,145,0,0
75039,47445,70,0,0
75039,47446,136,0,0
75040,47440,176,0,0
75040,47441,206,0,0
75040,47442,242,0,0
75040,47443,271,0,0
75040,47444,237,0,0
75040,47445,122,0,0
75040,47446,173,0,0
75041,47440,95,0,0
75041,47441,210,0,0
75041,47442,190,0,0
75041,47443,207,0,0
75041,47444,109,0,0
75041,47445,72,0,0
75041,47446,83,0,0
75042,47440,136,0,0
75042,47441,157,0,0
75042,47442,101,0,0
75042,47443,158,0,0
75042,47444,78,0,0
75042,47445,162,0,0
75042,47446,115,0,0
